LRI	LIGAND_1	LIGAND_2	RECEPTOR_1	RECEPTOR_2	RECEPTOR_3	DATABASE	SOURCE
CCN1:ITGAM	CCN1	NA	ITGAM	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:12036876
CCN1:ITGAV	CCN1	NA	ITGAV	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10821835;PMID:11;PMID:11287419
CCN1:ITGB2	CCN1	NA	ITGB2	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:12036876
CCN1:ITGB3	CCN1	NA	ITGB3	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:9446626
CCN1:ITGB5	CCN1	NA	ITGB5	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:11287419
CCN1:SDC4	CCN1	NA	SDC4	NA	NA	connectomeDB2020	PMID:16275757
CCN1:TLR2	CCN1	NA	TLR2	NA	NA	CellTalkDB	PMID:32144270
CCN1:TLR4	CCN1	NA	TLR4	NA	NA	CellTalkDB	PMID:32144270
CCN2:EGFR	CCN2	NA	EGFR	NA	NA	CellTalkDB	PMID:23929714
CCN2:ERBB4	CCN2	NA	ERBB4	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:12297288;PMID:26198319;PMID:32196115
CCN2:FGFR2	CCN2	NA	FGFR2	NA	NA	connectomeDB2020	PMID:23142580
CCN2:IGF2R	CCN2	NA	IGF2R	NA	NA	connectomeDB2020	PMID:22511630
CCN2:ITGA5	CCN2	NA	ITGA5	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:18167060;PMID:26198319;PMID:32196115
CCN2:ITGAM	CCN2	NA	ITGAM	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:12736251
CCN2:ITGB2	CCN2	NA	ITGB2	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:12736251
CCN2:LRP1	CCN2	NA	LRP1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:14585398
CCN2:LRP6	CCN2	NA	LRP6	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:15105373
CCN2:NTRK1	CCN2	NA	NTRK1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:15601748
CCN3:NOTCH1	CCN3	NA	NOTCH1	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMID:12;PMID:12050162;PMID:15906253
CCN3:PLXNA1	CCN3	NA	PLXNA1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
CCN4:ITGA5	CCN4	NA	ITGA5	NA	NA	connectomeDB2020	PMID:29330021
CCN4:ITGB1	CCN4	NA	ITGB1	NA	NA	connectomeDB2020	PMID:29330021
CCN6:SORL1	CCN6	NA	SORL1	NA	NA	CellPhoneDB;CellTalkDB	CellPhoneDB;PMID:32103204
CXCL13:CCR10	CXCL13	NA	CCR10	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10706668
CYTL1:CCR2	CYTL1	NA	CCR2	NA	NA	connectomeDB2020	PMID:27084102
DEFB103A:CCR2	DEFB103A	NA	CCR2	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:23390582
DEFB103B:CCR2	DEFB103B	NA	CCR2	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	PMID:23390582
DEFB106A:CCR2	DEFB106A	NA	CCR2	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	PMID:23938203
MMP2:CCR2	MMP2	NA	CCR2	NA	NA	CellTalkDB	PMID:30132565
MSMP:CCR2	MSMP	NA	CCR2	NA	NA	connectomeDB2020	PMID:28698550
CXCL10:CCR3	CXCL10	NA	CCR3	NA	NA	CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	FANTOM5;HPRD;IUPHAR;PMID:11110785;PMID:22633458
CXCL11:CCR3	CXCL11	NA	CCR3	NA	NA	CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	FANTOM5;HPRD;IUPHAR;PMID:11110785;PMID:15178708;PMID:22633458
CXCL9:CCR3	CXCL9	NA	CCR3	NA	NA	CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	FANTOM5;HPRD;IUPHAR;PMID:11110785;PMID:22633458
CKLF:CCR4	CKLF	NA	CCR4	NA	NA	CellTalkDB;SingleCellSignalR	PMID:10699158
CXCL12:CCR4	CXCL12	NA	CCR4	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
CXCL11:CCR5	CXCL11	NA	CCR5	NA	NA	ICELLNET	PMID:15178708;PMID:22633458
IL16:CCR5	IL16	NA	CCR5	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
ORM1:CCR5	ORM1	NA	CCR5	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:11336643
S100A4:CCR5	S100A4	NA	CCR5	NA	NA	CellTalkDB	PMID:30713770
DEFB1:CCR6	DEFB1	NA	CCR6	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:12149255;PMID:20068036;PMID:25122636;PMID:25585877
DEFB103A:CCR6	DEFB103A	NA	CCR6	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:11714836;PMID:23390582
DEFB103B:CCR6	DEFB103B	NA	CCR6	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	PMID:23390582
DEFB4A:CCR6	DEFB4A	NA	CCR6	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPRD;IUPHAR;PMID:10521347;PMID:11714836;PMID:20068036;PMID:25122636;PMID:25585877
DEFB4B:CCR6	DEFB4B	NA	CCR6	NA	NA	CellTalkDB;connectomeDB2020;NicheNet	IUPHAR;PMID:10521347;PMID:26198319
SPP1:CCR8	SPP1	NA	CCR8	NA	NA	CellPhoneDB	CellPhoneDB
RARRES2:CCRL2	RARRES2	NA	CCRL2	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:18794339
TGFB1:CD109	TGFB1	NA	CD109	NA	NA	SingleCellSignalR	FANTOM5
CD14:ITGA4	CD14	NA	ITGA4	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:17274987
CD14:ITGB1	CD14	NA	ITGB1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:17274987
CD14:ITGB2	CD14	NA	ITGB2	NA	NA	CellTalkDB;SingleCellSignalR	PMID:32196115;reactome
CD14:RIPK1	CD14	NA	RIPK1	NA	NA	CellTalkDB;SingleCellSignalR	PMID:32196115;reactome
CD14:TLR1	CD14	NA	TLR1	NA	NA	CellTalkDB	PMID:15714590
CD14:TLR4	CD14	NA	TLR4	NA	NA	CellTalkDB;SingleCellSignalR	PMID:32196115;reactome
CD14:TLR6	CD14	NA	TLR6	NA	NA	CellTalkDB;SingleCellSignalR	PMID:32196115;reactome
CD14:TLR9	CD14	NA	TLR9	NA	NA	CellTalkDB	PMID:21078886
DUSP18:CD151	DUSP18	NA	CD151	NA	NA	NicheNet;SingleCellSignalR	FANTOM5;HPMR
LAMB3:CD151	LAMB3	NA	CD151	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
LAMC2:CD151	LAMC2	NA	CD151	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
MMP7:CD151	MMP7	NA	CD151	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:16200075
CD160:TNFRSF14	CD160	NA	TNFRSF14	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:21959263
HMGB1:CD163	HMGB1	NA	CD163	NA	NA	CellTalkDB	PMID:28464519
HP:CD163	HP	NA	CD163	NA	NA	CellTalkDB;connectomeDB2020	PMID:25389409;PMID:27294203
TNFSF12:CD163	TNFSF12	NA	CD163	NA	NA	connectomeDB2020	PMID:19473660
CD177:PECAM1	CD177	NA	PECAM1	NA	NA	CellPhoneDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:17580308
SHBG:CD177	SHBG	NA	CD177	NA	NA	SingleCellSignalR	FANTOM5;HPRD;PMID:15862967
LY86:CD180	LY86	NA	CD180	NA	NA	connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:9686597;PMID:969;PMID:9763566
PSAP:CD1B	PSAP	NA	CD1B	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:14716313
CEACAM5:CD1D	CEACAM5	NA	CD1D	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:24104458
CD1D:LILRB2	CD1D	NA	LILRB2	NA	NA	CellPhoneDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:19124746
CD1D:LILRB3	CD1D	NA	LILRB3	NA	NA	CellChat	PMID:19124746
CD200:CD200R1	CD200	NA	CD200R1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:15187158;PMID:2020332;PMID:22020332
CD200:CD200R1L	CD200	NA	CD200R1L	NA	NA	CellChat;connectomeDB2020	KEGG:hsa04514;PMID:15187158;PMID:19283782
CEACAM1:CD209	CEACAM1	NA	CD209	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:16246332;PMID:16282604;PMID:6246332
ICAM3:CD209	ICAM3	NA	CD209	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET	CellPhoneDB;PMID:10721994;PMID:15795245
ICAM5:CD209	ICAM5	NA	CD209	NA	NA	CellChat	PMID:15795245
ITGAL:CD226	ITGAL	NA	CD226	NA	NA	NicheNet	KEGG:NicheNet
ITGB2:CD226	ITGB2	NA	CD226	NA	NA	CellChat;NicheNet	KEGG:hsa04514;KEGG:NicheNet
CD226:NECTIN2	CD226	NA	NECTIN2	NA	NA	CellChat;CellPhoneDB;connectomeDB2020;ICELLNET;NicheNet	CellPhoneDB;KEGG:NicheNet;PMID:15607800;PMID:24440149;PMID:27192565
PVR:CD226	PVR	NA	CD226	NA	NA	CellChat;CellPhoneDB;connectomeDB2020;ICELLNET;NicheNet	CellPhoneDB;KEGG:NicheNet;PMID:15034010;PMID:15607800;PMID:24440149
HP:CD22	HP	NA	CD22	NA	NA	CellTalkDB	PMID:9127741
PTPRC:CD22	PTPRC	NA	CD22	NA	NA	CellChat;CellPhoneDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;KEGG:hsa04514;KEGG:NicheNet;PMID:12115612
ST6GAL1:CD22	ST6GAL1	NA	CD22	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	PMID:1717156
CD48:CD244	CD48	NA	CD244	NA	NA	CellChat;CellPhoneDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:15870174;PMID:26697006
MMRN2:CD248	MMRN2	NA	CD248	NA	NA	connectomeDB2020	PMID:28671670
SELP:CD24	SELP	NA	CD24	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMID:9129046
CD24:SIGLEC10	CD24	NA	SIGLEC10	NA	NA	CellTalkDB	PMID:31367043
CD80:CD274	CD80	NA	CD274	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;KEGG:NicheNet;PMID:17629517;PMID:18585785;PMID:20587542;PMID:26927206
PDCD1:CD274	PDCD1	NA	CD274	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;KEGG:NicheNet;PMID:12889478;PMID:23954143
CD70:CD27	CD70	NA	CD27	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;IUPHAR;KEGG:hsa04060;KEGG:NicheNet;PMID:15723067;PMID:26697006;PMID:7479974;PMID:8120384;PMID:8186199;PMID:8580829;PMID:9767422;PMID:9862673;PPI
CD28:CD80	CD28	NA	CD80	NA	NA	CellChat;CellPhoneDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;KEGG:NicheNet;PMID:17953528;PMID:22437870;PMID:23954143;PMID:7545666
CD28:CD86	CD28	NA	CD86	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;KEGG:NicheNet;PMID:18205792;PMID:22437870;PMID:23954143;PMID:7534620
ICOSLG:CD28	ICOSLG	NA	CD28	NA	NA	CellChat;connectomeDB2020;ICELLNET;NicheNet	KEGG:hsa04514;KEGG:NicheNet;PMID:21530327;PMID:23470321
IL12A:CD28	IL12A	NA	CD28	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:7516408
CD48:CD2	CD48	NA	CD2	NA	NA	connectomeDB2020;ICELLNET	PMID:26794910;PMID:PMC1384590
CD58:CD2	CD58	NA	CD2	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet	CellPhoneDB;KEGG:NicheNet;PMID:23602662;PMID:30368623;PMID:7525848;PMID:7544396
CD59:CD2	CD59	NA	CD2	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	PMID:1377404;PMID:1385156
HAVCR1:CD300LB	HAVCR1	NA	CD300LB	NA	NA	connectomeDB2020;SingleCellSignalR	PMID:20566714
PTPN6:CD300LF	PTPN6	NA	CD300LF	NA	NA	CellTalkDB;SingleCellSignalR	PMID:15549731
TCN1:CD320	TCN1	NA	CD320	NA	NA	connectomeDB2020	PMID:27411955
LGALS3BP:CD33	LGALS3BP	NA	CD33	NA	NA	CellTalkDB	PMID:25320078
CD34:SELE	CD34	NA	SELE	NA	NA	connectomeDB2020	PMID:29296932
SELL:CD34	SELL	NA	CD34	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;KEGG:NicheNet;PMID:12889478;PMID:7692600;PMID:8977216
SELP:CD34	SELP	NA	CD34	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;PMID:18606703;PMID:29296932
COL1A1:CD36	COL1A1	NA	CD36	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:2468670
COL1A2:CD36	COL1A2	NA	CD36	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:10772928
COMP:CD36	COMP	NA	CD36	NA	NA	CellChat;CellTalkDB;NicheNet	KEGG:hsa04512;KEGG:NicheNet;PMID:30231922
S100A12:CD36	S100A12	NA	CD36	NA	NA	CellTalkDB	PMID:27734162
S100A8:CD36	S100A8	NA	CD36	NA	NA	CellTalkDB	PMID:31794767
S100A9:CD36	S100A9	NA	CD36	NA	NA	CellTalkDB	PMID:24691441
SAA1:CD36	SAA1	NA	CD36	NA	NA	connectomeDB2020	PMID:20075072
THBS1:CD36	THBS1	NA	CD36	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;HPRD;KEGG:hsa04512;PMID:10487979;PMID:10772961;PMID:1379600;PPI
THBS2:CD36	THBS2	NA	CD36	NA	NA	CellChat;CellTalkDB	KEGG:hsa04512;PMID:20714802
THBS3:CD36	THBS3	NA	CD36	NA	NA	CellChat	KEGG:hsa04512
THBS4:CD36	THBS4	NA	CD36	NA	NA	CellChat	KEGG:hsa04512
CD36:TLR4	CD36	NA	TLR4	NA	NA	SingleCellSignalR	reactome
CD36:TLR6	CD36	NA	TLR6	NA	NA	SingleCellSignalR	reactome
WNT1:CD36	WNT1	NA	CD36	NA	NA	CellPhoneDB	CellPhoneDB
PECAM1:CD38	PECAM1	NA	CD38	NA	NA	CellPhoneDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:26407101;PMID:9551996
HLA-A:CD3D	HLA-A	NA	CD3D	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
HLA-B:CD3D	HLA-B	NA	CD3D	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
HLA-C:CD3D	HLA-C	NA	CD3D	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:31848223
HLA-A:CD3G	HLA-A	NA	CD3G	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
HLA-B:CD3G	HLA-B	NA	CD3G	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
HLA-C:CD3G	HLA-C	NA	CD3G	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:31848223
CD40LG:ITGA2B_ITGB3	CD40LG	NA	ITGA2B	ITGB3	NA	CellChat;CellPhoneDB	CellPhoneDB;PMID:28676852
CD40LG:ITGB1_ITGA5	CD40LG	NA	ITGB1	ITGA5	NA	CellChat;CellPhoneDB	CellPhoneDB;PMID:28676852
CD40LG:ITGAM_ITGB2	CD40LG	NA	ITGAM	ITGB2	NA	CellChat	PMID:28676852
CD40LG:TRAF3	CD40LG	NA	TRAF3	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:16429118
CD40LG:CD40	CD40LG	NA	CD40	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;IUPHAR;KEGG:hsa04514;KEGG:NicheNet;PMID:10647992;PMID:11163401;PMID:1374165;PMID:7516405;PMID:7543281;PPI
INSL3:CD40	INSL3	NA	CD40	NA	NA	CellPhoneDB	CellPhoneDB
LTB:CD40	LTB	NA	CD40	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:7916655
TNFSF13B:CD40	TNFSF13B	NA	CD40	NA	NA	CellPhoneDB;CellTalkDB	CellPhoneDB;PMID:32103204
MIF:CD74_CD44	MIF	NA	CD74	CD44	NA	CellChat	PMID:26175090;PMID:29637711
COL14A1:CD44	COL14A1	NA	CD44	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:8986622
COL1A1:CD44	COL1A1	NA	CD44	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPRD;KEGG:hsa04512;KEGG:NicheNet;PMID:1730778
COL1A2:CD44	COL1A2	NA	CD44	NA	NA	CellChat;CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;KEGG:hsa04512;PMID:1730778
COL2A1:CD44	COL2A1	NA	CD44	NA	NA	CellChat;NicheNet	KEGG:hsa04512;KEGG:NicheNet
COL4A1:CD44	COL4A1	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL4A2:CD44	COL4A2	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL4A3:CD44	COL4A3	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL4A4:CD44	COL4A4	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL4A5:CD44	COL4A5	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL4A6:CD44	COL4A6	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL6A1:CD44	COL6A1	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL6A2:CD44	COL6A2	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL6A3:CD44	COL6A3	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL6A5:CD44	COL6A5	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL6A6:CD44	COL6A6	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL9A1:CD44	COL9A1	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL9A2:CD44	COL9A2	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
COL9A3:CD44	COL9A3	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
FGF1:CD44	FGF1	NA	CD44	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:29812912
FGF2:CD44	FGF2	NA	CD44	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:7532176
FGFR2:CD44	FGFR2	NA	CD44	NA	NA	CellPhoneDB	CellPhoneDB
FN1:CD44	FN1	NA	CD44	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;KEGG:hsa04512;KEGG:NicheNet;PMID:1730778
HAS2:CD44	HAS2	NA	CD44	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:1694723
HBEGF:CD44	HBEGF	NA	CD44	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:7532176
HGF:CD44	HGF	NA	CD44	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;PMID:10037743
LAMA1:CD44	LAMA1	NA	CD44	NA	NA	CellChat;NicheNet	KEGG:hsa04512;KEGG:NicheNet
LAMA2:CD44	LAMA2	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMA3:CD44	LAMA3	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMA4:CD44	LAMA4	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMA5:CD44	LAMA5	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMB1:CD44	LAMB1	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMB2:CD44	LAMB2	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMB3:CD44	LAMB3	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMC1:CD44	LAMC1	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMC2:CD44	LAMC2	NA	CD44	NA	NA	CellChat	KEGG:hsa04512
LAMC3:CD44	LAMC3	NA	CD44	NA	NA	CellChat;NicheNet	KEGG:hsa04512;KEGG:NicheNet
LGALS9:CD44	LGALS9	NA	CD44	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020	CellPhoneDB;PMID:25065622;PMID:32103204
LPL:CD44	LPL	NA	CD44	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
MADCAM1:CD44	MADCAM1	NA	CD44	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:2474557
MMP1:CD44	MMP1	NA	CD44	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:11381077
MMP7:CD44	MMP7	NA	CD44	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:11825873
MMP9:CD44	MMP9	NA	CD44	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10652271;PMID:17912438;PMID:18
PRG4:CD44	PRG4	NA	CD44	NA	NA	CellTalkDB	PMID:30157934
PSEN1:CD44	PSEN1	NA	CD44	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
SELE:CD44	SELE	NA	CD44	NA	NA	CellChat;CellPhoneDB;connectomeDB2020	CellPhoneDB;PMC4571854;PMID:29777742
SPP1:CD44	SPP1	NA	CD44	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMID:10657301;PMID:12;PMID:12377945;PMID:21907263
TIMP2:CD44	TIMP2	NA	CD44	NA	NA	CellTalkDB	PMID:14871815
TIMP3:CD44	TIMP3	NA	CD44	NA	NA	CellTalkDB	PMID:14871815
VCAN:CD44	VCAN	NA	CD44	NA	NA	CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	FANTOM5;HPRD;PMID:10950950
JAG1:CD46	JAG1	NA	CD46	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:23086448
COL4A1:CD47	COL4A1	NA	CD47	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
COL4A3:CD47	COL4A3	NA	CD47	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:10493512
COL4A4:CD47	COL4A4	NA	CD47	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
COL4A5:CD47	COL4A5	NA	CD47	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
COL4A6:CD47	COL4A6	NA	CD47	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
COMP:CD47	COMP	NA	CD47	NA	NA	CellChat;connectomeDB2020;NicheNet	KEGG:hsa04512;KEGG:NicheNet;PMID:20033473
LGALS9:CD47	LGALS9	NA	CD47	NA	NA	CellPhoneDB;CellTalkDB	CellPhoneDB;PMID:32103204
SIRPA:CD47	SIRPA	NA	CD47	NA	NA	CellPhoneDB;connectomeDB2020	CellPhoneDB;PMID:10572074
CD47:SIRPB1_TYROBP	CD47	NA	SIRPB1	TYROBP	NA	CellPhoneDB	CellPhoneDB
SIRPB2:CD47	SIRPB2	NA	CD47	NA	NA	connectomeDB2020	PMID:15383453
SIRPG:CD47	SIRPG	NA	CD47	NA	NA	CellPhoneDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:15294972
THBS1:CD47	THBS1	NA	CD47	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;HPRD;KEGG:hsa04512;PMID:10397731;PMID:11980922;PMID:8550562;PMID:9169439;PPI
THBS2:CD47	THBS2	NA	CD47	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;KEGG:hsa04512;PMID:8550562;PPI
THBS3:CD47	THBS3	NA	CD47	NA	NA	CellChat	KEGG:hsa04512
THBS4:CD47	THBS4	NA	CD47	NA	NA	CellChat	KEGG:hsa04512
VTN:CD47	VTN	NA	CD47	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
IL18:CD48	IL18	NA	CD48	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:15760905
CXCL12:CD4	CXCL12	NA	CD4	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10600606
HLA-DMA:CD4	HLA-DMA	NA	CD4	NA	NA	CellChat;NicheNet	KEGG:hsa04514;KEGG:NicheNet
